-7.815323662589976905e+00 -8.176559657386754054e+00 -8.387869168253571317e+00 -8.537795652183532980e+00 -8.654087667793200822e+00 -8.749105163050350242e+00 -8.829441310607085924e+00 -8.899031646980310128e+00 -8.960414673917167505e+00
-6.779383834475206427e+00 -7.140619829271983576e+00 -7.351929340138800839e+00 -7.501855824068762502e+00 -7.618147839678429456e+00 -7.713165334935579764e+00 -7.793501482492315446e+00 -7.863091818865539651e+00 -7.924474845802396139e+00
-6.765729386566540882e+00 -7.126965381363318031e+00 -7.338274892230135293e+00 -7.488201376160096956e+00 -7.604493391769763910e+00 -7.699510887026914219e+00 -7.779847034583649901e+00 -7.849437370956874105e+00 -7.910820397893730593e+00
-6.765729386566540882e+00 -7.126965381363318031e+00 -7.338274892230135293e+00 -7.488201376160096956e+00 -7.604493391769763910e+00 -7.699510887026914219e+00 -7.779847034583649901e+00 -7.849437370956874105e+00 -7.910820397893730593e+00
-6.767183834494063355e+00 -7.128419829290840504e+00 -7.339729340157657766e+00 -7.489655824087619429e+00 -7.605947839697286383e+00 -7.700965334954436692e+00 -7.781301482511172374e+00 -7.850891818884396578e+00 -7.912274845821253066e+00
-6.767206008535617379e+00 -7.128442003332394528e+00 -7.339751514199211790e+00 -7.489677998129173453e+00 -7.605970013738840407e+00 -7.700987508995990716e+00 -7.781323656552726398e+00 -7.850913992925950602e+00 -7.912297019862807090e+00
-6.767874288740521216e+00 -7.129110283537298365e+00 -7.340419794404115628e+00 -7.490346278334077290e+00 -7.606638293943744245e+00 -7.701655789200894553e+00 -7.781991936757630235e+00 -7.851582273130854439e+00 -7.912965300067710928e+00
-6.767763499772687652e+00 -7.128999494569464801e+00 -7.340309005436282064e+00 -7.490235489366243726e+00 -7.606527504975910681e+00 -7.701545000233060989e+00 -7.781881147789796671e+00 -7.851471484163020875e+00 -7.912854511099877364e+00
-6.263636723750950708e+00 -6.624872718547727857e+00 -6.836182229414545120e+00 -6.986108713344506782e+00 -7.102400728954173736e+00 -7.197418224211324045e+00 -7.277754371768059727e+00 -7.347344708141283931e+00 -7.408727735078140419e+00
-6.261282240335569682e+00 -6.622518235132346831e+00 -6.833827745999164094e+00 -6.983754229929125756e+00 -7.100046245538792711e+00 -7.195063740795943019e+00 -7.275399888352678701e+00 -7.344990224725902905e+00 -7.406373251662759394e+00
-6.256185199022200827e+00 -6.617421193818977976e+00 -6.828730704685795239e+00 -6.978657188615756901e+00 -7.094949204225423856e+00 -7.189966699482574164e+00 -7.270302847039309846e+00 -7.339893183412534050e+00 -7.401276210349390539e+00
-6.272456980076487554e+00 -6.633692974873264703e+00 -6.845002485740081966e+00 -6.994928969670043628e+00 -7.111220985279710582e+00 -7.206238480536860891e+00 -7.286574628093596573e+00 -7.356164964466820777e+00 -7.417547991403677266e+00
-6.030568326099108312e+00 -6.391804320895885461e+00 -6.603113831762702723e+00 -6.753040315692664386e+00 -6.869332331302331340e+00 -6.964349826559481649e+00 -7.044685974116217331e+00 -7.114276310489441535e+00 -7.175659337426298023e+00
-6.026992938993501525e+00 -6.388228933790278674e+00 -6.599538444657095937e+00 -6.749464928587057599e+00 -6.865756944196724554e+00 -6.960774439453874862e+00 -7.041110587010610544e+00 -7.110700923383834748e+00 -7.172083950320691237e+00
-5.925989445174254300e+00 -6.287225439971031449e+00 -6.498534950837848712e+00 -6.648461434767810374e+00 -6.764753450377477328e+00 -6.859770945634627637e+00 -6.940107093191363319e+00 -7.009697429564587523e+00 -7.071080456501444012e+00
-5.925989445174254300e+00 -6.287225439971031449e+00 -6.498534950837848712e+00 -6.648461434767810374e+00 -6.764753450377477328e+00 -6.859770945634627637e+00 -6.940107093191363319e+00 -7.009697429564587523e+00 -7.071080456501444012e+00
-6.029071565456288084e+00 -6.390307560253065233e+00 -6.601617071119882496e+00 -6.751543555049844159e+00 -6.867835570659511113e+00 -6.962853065916661421e+00 -7.043189213473397103e+00 -7.112779549846621308e+00 -7.174162576783477796e+00
-6.105699593431974215e+00 -6.466935588228751364e+00 -6.678245099095568627e+00 -6.828171583025530289e+00 -6.944463598635197243e+00 -7.039481093892347552e+00 -7.119817241449083234e+00 -7.189407577822307438e+00 -7.250790604759163926e+00
-6.114308851947297896e+00 -6.475544846744075045e+00 -6.686854357610892308e+00 -6.836780841540853970e+00 -6.953072857150520925e+00 -7.048090352407671233e+00 -7.128426499964406915e+00 -7.198016836337631119e+00 -7.259399863274487608e+00
-6.112827220021790353e+00 -6.474063214818567502e+00 -6.685372725685384765e+00 -6.835299209615346427e+00 -6.951591225225013382e+00 -7.046608720482163690e+00 -7.126944868038899372e+00 -7.196535204412123576e+00 -7.257918231348980065e+00
-6.071161686009256542e+00 -6.432397680806033691e+00 -6.643707191672850954e+00 -6.793633675602812616e+00 -6.909925691212479570e+00 -7.004943186469629879e+00 -7.085279334026365561e+00 -7.154869670399589765e+00 -7.216252697336446253e+00
-6.083541824555018351e+00 -6.444777819351795500e+00 -6.656087330218612763e+00 -6.806013814148574426e+00 -6.922305829758241380e+00 -7.017323325015391688e+00 -7.097659472572127370e+00 -7.167249808945351575e+00 -7.228632835882208063e+00
-6.144049126834739027e+00 -6.505285121631516176e+00 -6.716594632498333439e+00 -6.866521116428295102e+00 -6.982813132037962056e+00 -7.077830627295112365e+00 -7.158166774851848047e+00 -7.227757111225072251e+00 -7.289140138161928739e+00
-6.136517193159042982e+00 -6.497753187955820131e+00 -6.709062698822637394e+00 -6.858989182752599056e+00 -6.975281198362266011e+00 -7.070298693619416319e+00 -7.150634841176152001e+00 -7.220225177549376205e+00 -7.281608204486232694e+00
-6.112152739435776638e+00 -6.473388734232553787e+00 -6.684698245099371050e+00 -6.834624729029332713e+00 -6.950916744638999667e+00 -7.045934239896149975e+00 -7.126270387452885657e+00 -7.195860723826109862e+00 -7.257243750762966350e+00
-6.112145007311738709e+00 -6.473381002108515858e+00 -6.684690512975333121e+00 -6.834616996905294783e+00 -6.950909012514961738e+00 -7.045926507772112046e+00 -7.126262655328847728e+00 -7.195852991702071932e+00 -7.257236018638928421e+00
-6.104339937908410896e+00 -6.465575932705188045e+00 -6.676885443572005308e+00 -6.826811927501966970e+00 -6.943103943111633924e+00 -7.038121438368784233e+00 -7.118457585925519915e+00 -7.188047922298744119e+00 -7.249430949235600607e+00
-6.098162076917441610e+00 -6.459398071714218759e+00 -6.670707582581036021e+00 -6.820634066510997684e+00 -6.936926082120664638e+00 -7.031943577377814947e+00 -7.112279724934550629e+00 -7.181870061307774833e+00 -7.243253088244631321e+00
-6.100657965865945442e+00 -6.461893960662722591e+00 -6.673203471529539854e+00 -6.823129955459501517e+00 -6.939421971069168471e+00 -7.034439466326318779e+00 -7.114775613883054461e+00 -7.184365950256278666e+00 -7.245748977193135154e+00
